,Table 1.  State and Local Government Finances by Level of Government and by State: 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(Dollar amounts are in thousands.  For meaning of abbreviations and symbols, see note below table.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source:  2017 Census of Governments: Finance. Data users who create their own estimates using data from this report should cite the ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U.S. Census Bureau as the source of the original data only. The data in this table are based on information from public records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, and contain no confidential data. The data in this table come from a census of state and local governments and are not subject to sampling error. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Additional information on nonsampling error, response rates, and definitions may be found at: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://www2.census.gov/govs/state/17_methodology.pdf     ,and http://www2.census.gov/govs/estimate/2017_Local_Finance_Methodology.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,United States Total,,,Alabama,,,Alaska,,,Arizona,,,Arkansas,,,California,,,Colorado,,,Connecticut,,,Delaware,,,District of Columbia,,,Florida,,,Georgia,,,Hawaii,,,Idaho,,,Illinois,,,Indiana,,,Iowa,,,Kansas,,,Kentucky,,,Louisiana,,,Maine,,,Maryland,,,Massachusetts,,,Michigan,,,Minnesota,,,Mississippi,,
,,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local
,,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government
,,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1
,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2.00,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Line,Description,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78
1,            Revenue1,"3,918,842,777","2,531,103,057","1,938,485,304","49,899,502","33,248,412","22,815,241","14,287,100","10,563,363","5,476,015","67,173,041","45,048,922","30,656,635","31,280,661","25,711,873","10,633,587","615,808,407","392,867,617","335,477,407","62,002,235","34,830,118","34,210,877","49,519,040","34,378,747","20,184,017","11,971,107","9,648,958","3,897,389","15,031,160",0,"15,254,455","192,144,243","106,907,885","106,675,265","91,081,473","56,288,198","46,830,391","20,329,637","16,118,261","4,522,265","15,535,296","11,619,145","6,288,390","148,647,899","87,434,281","80,938,141","62,854,281","43,081,753","30,299,193","41,260,973","29,081,691","17,832,361","32,014,790","21,204,982","15,892,558","45,190,756","34,458,573","15,427,485","52,284,692","36,284,086","22,078,662","14,432,126","10,630,716","5,226,347","73,282,370","47,772,541","33,807,831","95,392,235","66,796,478","38,152,623","106,961,450","77,155,047","49,048,414","73,380,700","53,458,777","32,198,814","32,785,230","24,310,239","13,056,406"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,General revenue1,"3,118,686,096","1,976,011,980","1,693,419,703","40,007,497","26,771,029","19,400,619","11,629,872","8,344,631","5,037,519","52,634,080","36,116,603","25,049,993","25,596,064","21,088,057","9,572,805","453,985,842","288,643,575","277,878,884","51,879,069","28,236,903","30,680,926","41,243,594","28,257,545","18,029,773","10,179,390","8,437,964","3,316,666","13,023,060",0,"13,246,355","156,410,452","84,793,586","93,055,772","72,738,783","43,915,275","40,860,623","17,231,835","13,451,636","4,091,088","12,209,019","8,536,691","6,044,567","119,096,475","68,453,591","70,367,407","55,567,577","38,747,759","27,346,483","34,397,361","23,416,645","16,633,795","26,727,185","17,685,746","14,124,189","37,456,441","28,662,251","13,489,493","42,127,504","27,554,646","20,650,915","12,234,065","8,579,443","5,079,559","63,162,518","41,239,799","30,220,722","77,468,172","54,717,961","32,307,077","88,568,956","64,021,739","43,789,228","58,575,888","41,455,933","29,396,847","26,649,621","19,000,703","12,230,333"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Intergovernmental revenue1,"710,075,736","658,791,527","602,029,796","10,969,518","9,949,247","7,184,422","3,517,742","3,286,785","1,983,235","15,822,474","15,159,001","9,195,989","8,148,891","7,902,598","5,311,091","100,798,584","93,013,860","120,321,341","9,865,679","8,806,629","8,097,810","8,097,541","7,642,327","5,498,938","2,454,761","2,429,132","1,600,869","4,007,411",0,"4,230,706","29,986,622","26,518,780","24,906,748","16,327,419","15,183,904","13,180,630","3,098,783","2,787,412","622,260","2,775,028","2,642,174","2,505,093","23,181,528","20,070,078","22,835,973","15,103,897","14,713,219","10,917,343","6,148,766","5,721,957","6,079,888","4,412,654","4,160,844","5,334,560","12,170,684","11,683,636","5,182,351","13,009,073","12,636,884","6,450,246","3,056,685","3,020,597","1,461,025","14,041,431","13,035,718","9,303,716","17,186,768","16,349,325","10,394,309","22,840,336","21,350,680","20,731,667","11,762,341","10,984,816","13,054,417","8,535,836","8,211,496","4,905,755"
4,     From Federal Government,"710,075,736","641,714,983","68,360,753","10,969,518","9,857,029","1,112,489","3,517,742","3,278,747","238,995","15,822,474","14,896,948","925,526","8,148,891","7,853,253","295,638","100,798,584","88,470,052","12,328,532","9,865,679","8,743,453","1,122,226","8,097,541","7,517,893","579,648","2,454,761","2,359,193","95,568","4,007,411",0,"4,007,411","29,986,622","26,209,014","3,777,608","16,327,419","15,120,509","1,206,910","3,098,783","2,779,631","319,152","2,775,028","2,625,282","149,746","23,181,528","19,669,449","3,512,079","15,103,897","14,630,307","473,590","6,148,766","5,691,310","457,456","4,412,654","4,112,926","299,728","12,170,684","11,642,056","528,628","13,009,073","12,146,606","862,467","3,056,685","2,943,046","113,639","14,041,431","12,795,954","1,245,477","17,186,768","15,758,539","1,428,229","22,840,336","21,176,260","1,664,076","11,762,341","10,809,391","952,950","8,535,836","8,096,276","439,560"
5,     From State government1,0,0,"533,669,043",0,0,"6,071,933",0,0,"1,744,240",0,0,"8,270,463",0,0,"5,015,453",0,0,"107,992,809",0,0,"6,975,584",0,0,"4,919,290",0,0,"1,505,301",0,0,"223,295",0,0,"21,129,140",0,0,"11,973,720",0,0,"303,108",0,0,"2,355,347",0,0,"19,323,894",0,0,"10,443,753",0,0,"5,622,432",0,0,"5,034,832",0,0,"4,653,723",0,0,"5,587,779",0,0,"1,347,386",0,0,"8,058,239",0,0,"8,966,080",0,0,"19,067,591",0,0,"12,101,467",0,0,"4,466,195"
6,     From local governments1,0,"17,076,544",0,0,"92,218",0,0,"8,038",0,0,"262,053",0,0,"49,345",0,0,"4,543,808",0,0,"63,176",0,0,"124,434",0,0,"69,939",0,0,0,0,0,"309,766",0,0,"63,395",0,0,"7,781",0,0,"16,892",0,0,"400,629",0,0,"82,912",0,0,"30,647",0,0,"47,918",0,0,"41,580",0,0,"490,278",0,0,"77,551",0,0,"239,764",0,0,"590,786",0,0,"174,420",0,0,"175,425",0,0,"115,220",0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,General revenue from own sources,"2,408,610,360","1,317,220,453","1,091,389,907","29,037,979","16,821,782","12,216,197","8,112,130","5,057,846","3,054,284","36,811,606","20,957,602","15,854,004","17,447,173","13,185,459","4,261,714","353,187,258","195,629,715","157,557,543","42,013,390","19,430,274","22,583,116","33,146,053","20,615,218","12,530,835","7,724,629","6,008,832","1,715,797","9,015,649",0,"9,015,649","126,423,830","58,274,806","68,149,024","56,411,364","28,731,371","27,679,993","14,133,052","10,664,224","3,468,828","9,433,991","5,894,517","3,539,474","95,914,947","48,383,513","47,531,434","40,463,680","24,034,540","16,429,140","28,248,595","17,694,688","10,553,907","22,314,531","13,524,902","8,789,629","25,285,757","16,978,615","8,307,142","29,118,431","14,917,762","14,200,669","9,177,380","5,558,846","3,618,534","49,121,087","28,204,081","20,917,006","60,281,404","38,368,636","21,912,768","65,728,620","42,671,059","23,057,561","46,813,547","30,471,117","16,342,430","18,113,785","10,789,207","7,324,578"
8,    Taxes,"1,652,829,219","946,076,690","706,752,529","16,427,707","10,417,084","6,010,623","3,029,491","1,189,104","1,840,387","25,832,448","15,249,149","10,583,299","12,026,975","9,516,281","2,510,694","243,141,970","155,691,922","87,450,048","27,528,947","13,345,837","14,183,110","27,638,197","16,686,549","10,951,648","4,676,218","3,588,905","1,087,313","7,455,868",0,"7,455,868","77,735,942","41,333,978","36,401,964","38,940,992","22,420,897","16,520,095","9,457,287","7,029,026","2,428,261","6,366,221","4,497,608","1,868,613","73,702,045","37,978,923","35,723,122","26,048,225","18,170,514","7,877,711","15,693,194","9,755,430","5,937,764","13,484,802","8,174,015","5,310,787","17,342,836","11,907,759","5,435,077","19,979,339","10,861,190","9,118,149","7,079,352","4,232,556","2,846,796","37,964,460","21,599,795","16,364,665","45,061,498","27,509,262","17,552,236","41,757,105","28,651,577","13,105,528","34,390,945","25,594,522","8,796,423","10,937,042","7,724,629","3,212,413"
9,          Property,"525,920,027","16,494,043","509,425,984","2,836,712","395,930","2,440,782","1,568,444","120,805","1,447,639","7,748,082","993,615","6,754,467","2,228,112","1,137,886","1,090,226","63,305,785","2,681,872","60,623,913","8,668,571",0,"8,668,571","10,791,807",0,"10,791,807","883,217",0,"883,217","2,431,971",0,"2,431,971","27,898,256",0,"27,898,256","12,089,876","989,218","11,100,658","1,759,711",0,"1,759,711","1,749,307",0,"1,749,307","28,624,697","63,283","28,561,414","6,934,506","12,251","6,922,255","5,131,855","1,840","5,130,015","4,482,188","683,827","3,798,361","3,701,559","709,772","2,991,787","4,211,195","70,366","4,140,829","2,854,917","38,643","2,816,274","9,778,344","777,064","9,001,280","16,713,976","6,598","16,707,378","14,069,433","2,124,075","11,945,358","8,901,677","854,945","8,046,732","3,039,034","27,099","3,011,935"
10,          Sales and gross receipts,"580,355,433","456,695,115","123,660,318","8,059,631","5,247,294","2,812,337","615,308","263,120","352,188","12,611,719","9,214,293","3,397,426","6,080,222","4,701,868","1,378,354","71,604,742","51,530,249","20,074,493","10,259,402","5,277,083","4,982,319","6,991,470","6,991,470",0,"573,364","556,490","16,874","1,814,410",0,"1,814,410","40,367,903","34,089,929","6,277,974","13,693,100","8,809,190","4,883,910","4,790,113","4,365,856","424,257","2,283,080","2,231,756","51,324","24,839,898","18,629,894","6,210,004","11,139,784","11,013,349","126,435","5,214,170","4,613,085","601,085","5,669,491","4,301,759","1,367,732","6,368,252","5,649,708","718,544","11,547,591","6,770,967","4,776,624","2,171,703","2,165,142","6,561","10,201,270","9,242,760","958,510","9,228,922","8,809,249","419,673","13,968,405","13,703,621","264,784","11,043,829","10,607,635","436,194","5,063,013","4,950,204","112,809"
11,               General sales,"389,018,755","299,573,689","89,445,066","5,065,832","2,654,883","2,410,949","233,759",0,"233,759","10,333,725","7,237,044","3,096,681","4,543,331","3,384,394","1,158,937","49,075,211","35,357,699","13,717,512","7,517,416","2,978,382","4,539,034","4,236,619","4,236,619",0,0,0,0,"1,368,496",0,"1,368,496","27,760,897","25,346,166","2,414,731","9,287,472","5,729,916","3,557,556","3,462,574","3,239,225","223,349","1,655,240","1,650,498","4,742","14,411,303","11,363,366","3,047,937","7,556,509","7,556,326",183,"3,546,697","3,205,997","340,700","4,303,685","3,209,506","1,094,179","3,490,639","3,490,639",0,"8,647,454","4,215,378","4,432,076","1,441,867","1,441,867",0,"4,609,538","4,609,538",0,"6,240,822","6,240,822",0,"9,223,737","9,223,737",0,"6,106,081","5,888,795","217,286","3,483,438","3,483,438",0
