Institution: https://www.chronicle.com/interactives/faculty-diversity,Full-time faculty,Women,American indian / Alaska native,Asian,Black,Hispanic,Native hawaiian / pacific islander,White,Two or more races,Unknown,Non-resident foreign,total minority
University of Michigan at Ann ArborDoctoral | MI,"6,706",40.60%,0.30%,14.80%,3.40%,3.60%,0.00%,60.70%,1.30%,1.30%,14.70%,23.30%
New York UniversityDoctoral | NY,"5,723",43.60%,0.00%,14.80%,4.40%,4.50%,0.10%,68.20%,0.40%,0.50%,7.10%,24.20%
University of WashingtonDoctoral | WA,"4,279",44.70%,0.40%,15.40%,1.80%,4.10%,0.10%,65.60%,1.80%,7.20%,3.60%,23.60%
University of Colorado at DenverDoctoral | CO,"4,221",56.50%,0.30%,7.30%,1.10%,5.00%,0.10%,68.30%,0.50%,16.50%,0.80%,14.30%
University of Pittsburgh main campusDoctoral | PA,"4,210",42.50%,0.10%,18.10%,2.80%,2.90%,0.10%,70.10%,0.30%,1.10%,4.50%,24.30%
Columbia UniversityDoctoral | NY,"4,133",43.80%,0.10%,16.80%,4.10%,4.50%,0.00%,65.50%,0.80%,3.00%,5.30%,26.30%
Ohio State UniversityDoctoral | OH,"4,065",42.10%,0.10%,14.60%,3.90%,3.80%,0.10%,66.60%,0.90%,5.10%,4.90%,23.40%
Duke UniversityDoctoral | NC,"3,958",40.80%,0.10%,15.30%,4.70%,1.50%,0.20%,77.50%,0.70%,0.00%,0.00%,22.50%
Johns Hopkins UniversityDoctoral | MD,"3,909",42.80%,0.10%,18.70%,5.30%,3.50%,0.00%,67.20%,0.80%,0.10%,4.30%,28.50%
University of California at Los AngelesDoctoral | CA,"3,675",39.30%,0.30%,23.50%,3.20%,6.20%,0.10%,57.10%,0.70%,4.80%,4.00%,34.00%
University of Minnesota-Twin CitiesDoctoral | MN,"3,609",42.10%,0.50%,12.60%,2.40%,3.00%,0.10%,73.00%,1.50%,1.80%,5.20%,20.10%
Stanford UniversityDoctoral | CA,"3,533",39.40%,0.20%,18.60%,2.10%,4.30%,0.00%,54.40%,1.60%,9.90%,8.90%,26.80%
University of Wisconsin at MadisonDoctoral | WI,"3,513",40.10%,0.30%,10.50%,2.20%,3.00%,0.10%,74.80%,1.10%,5.00%,3.00%,17.10%
Rutgers University at New BrunswickDoctoral | NJ,"3,361",45.40%,0.10%,13.60%,3.80%,3.90%,0.00%,52.10%,0.70%,18.30%,7.50%,22.10%
Texas A&M University at College StationDoctoral | TX,"3,205",35.90%,0.20%,14.00%,3.30%,6.40%,0.20%,66.30%,0.90%,2.80%,5.90%,25.00%
Icahn School of Medicine at Mount SinaiSpecial-Focus | NY,"3,092",44.70%,0.10%,29.40%,4.40%,5.10%,0.10%,57.30%,0.70%,2.30%,0.70%,39.70%
Baylor College of MedicineSpecial-Focus | TX,"3,056",54.00%,0.20%,22.80%,6.10%,7.10%,0.10%,43.90%,2.80%,17.00%,0.00%,39.10%
Pennsylvania State University at University ParkDoctoral | PA,"2,994",40.90%,0.30%,9.40%,3.40%,3.50%,0.00%,66.30%,0.80%,8.80%,7.60%,17.40%
Michigan State UniversityDoctoral | MI,"2,979",42.00%,0.50%,13.00%,4.60%,4.10%,0.10%,72.60%,0.50%,0.00%,4.60%,22.80%
Yale UniversityDoctoral | CT,"2,927",40.30%,0.10%,12.60%,3.20%,3.90%,0.10%,62.10%,0.50%,10.70%,6.70%,20.50%
University of Texas at AustinDoctoral | TX,"2,906",41.90%,0.10%,9.50%,4.40%,7.80%,0.00%,72.50%,1.30%,0.00%,4.40%,23.10%
Boston UniversityDoctoral | MA,"2,897",48.40%,0.00%,11.10%,3.80%,3.50%,0.00%,74.70%,1.20%,0.00%,5.80%,19.50%
University of FloridaDoctoral | FL,"2,734",37.20%,0.10%,11.70%,4.00%,7.00%,0.00%,72.00%,1.30%,0.30%,3.70%,24.10%
Western Governors UniversityMaster's | UT,"2,630",75.00%,0.40%,2.00%,13.80%,4.10%,0.20%,73.70%,3.30%,2.50%,0.00%,23.80%
University of California at San DiegoDoctoral | CA,"2,588",37.80%,0.30%,18.90%,1.80%,6.70%,0.10%,64.40%,0.10%,2.40%,5.30%,27.90%
University of California at DavisDoctoral | CA,"2,572",40.00%,0.30%,18.10%,2.10%,5.80%,0.00%,64.90%,0.50%,3.60%,4.70%,26.80%
University of California at San FranciscoSpecial-Focus | CA,"2,553",49.80%,0.40%,26.20%,3.10%,5.40%,0.10%,58.10%,0.80%,3.20%,2.80%,35.90%
Indiana University-Purdue University at IndianapolisDoctoral | IN,"2,472",44.20%,0.00%,15.60%,4.40%,3.70%,0.00%,75.20%,0.90%,0.00%,0.10%,24.60%
University of Southern CaliforniaDoctoral | CA,"2,444",39.10%,0.20%,13.50%,3.30%,5.60%,0.00%,66.50%,1.80%,5.80%,3.40%,24.40%
