Name,Name Short,State,Type,No Students,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Harvard University,Harvard,MA,Private,20739,$39.43 ,$38.30 ,$36.02 ,$34.54 ,$36.45 ,$35.88 ,$32.33 ,$30.44 ,$31.73 ,$27.56 ,$25.66 ,$36.56 ,$34.64 
Yale University,Yale,CT,Private,13609,$30.31 ,$29.35 ,$27.18 ,$25.41 ,$25.57 ,$23.90 ,$20.78 ,$19.35 ,$19.37 ,$16.65 ,$16.33 ,$22.87 ,$22.53 
Stanford University,Stanford,CA,Private,17249,$27.70 ,$26.47 ,$24.79 ,$22.40 ,$22.22 ,$21.45 ,$18.67 ,$17.04 ,$16.50 ,$13.85 ,$12.62 ,$17.20 ,$17.17 
Princeton University,Princeton,NJ,Private,8374,$26.12 ,$25.92 ,$23.81 ,$22.15 ,$22.72 ,$21.00 ,$18.20 ,$16.95 ,$17.11 ,$14.39 ,$12.61 ,$16.35 ,$15.79 
Massachusetts Institute of Technology,MIT,MA,Private,11520,$17.57 ,$16.53 ,$14.97 ,$13.18 ,$13.48 ,$12.43 ,$11.01 ,$10.15 ,$9.71 ,$8.32 ,$7.98 ,$10.07 ,$9.98 
University of Pennsylvania,U Penn,PA,Private,22432,$14.65 ,$13.78 ,$12.21 ,$10.72 ,$10.13 ,$9.58 ,$7.74 ,$6.76 ,$6.58 ,$5.67 ,$5.17 ,$6.23 ,$6.64 
University of Notre Dame,,IN,Private,,$11.27 ,$10.73 ,$9.35 ,$8.37 ,$8.57 ,$8.04 ,$6.86 ,$6.33 ,$6.26 ,$5.24 ,$4.80 ,$6.23 ,$5.98 
Northwestern University,,IL,Private,,$11.09 ,$11.09 ,$10.44 ,$9.65 ,$10.19 ,$9.78 ,$7.88 ,$7.12 ,$7.18 ,$5.95 ,$5.45 ,$7.24 ,$6.50 
Columbia University,,NY,Private,,$10.95 ,$10.87 ,$10.00 ,$9.04 ,$9.64 ,$9.22 ,$8.20 ,$7.65 ,$7.79 ,$6.52 ,$5.89 ,$7.15 ,$7.15 
Duke University,Duke,NC,Private,15892,$8.60 ,$8.53 ,$7.91 ,$6.84 ,$7.30 ,$7.04 ,$6.04 ,$5.56 ,$5.75 ,$4.82 ,$4.44 ,$6.12 ,$5.91 
