"","country","x","p"
"1","China",1,1.39e+09
"2","India",2,1.26e+09
"3","United States",3,325723000
"4","Indonesia",4,246813000
"5","Brazil",5,209401000
"6","Pakistan",6,193419000
"7","Bangladesh",7,168158000
"8","Nigeria",8,160931000
"9","Russia",9,136696000
"10","Japan",10,127993000
"11","Mexico",11,119146000
"12","Ethiopia",12,97155000
"13","Philippines",13,96840000
"14","Vietnam",14,95029000
"15","Egypt",15,88175000
"16","Turkey",16,82640000
"17","Germany",17,82513000
"18","Iran",18,79917000
"19","Democratic Republic of the Congo",19,78016000
"20","Thailand",20,69064000
"21","France",21,62339000
"22","United Kingdom",22,61417000
"23","Italy",23,57818000
"24","Burma",24,54970000
"25","Colombia",25,52086000
"26","South Korea",26,49092000
"27","South Africa",27,47902000
"28","Tanzania",28,45598000
"29","Spain",29,44372000
"30","Kenya",30,44194000
"31","Sudan",31,44035000
"32","Argentina",32,42676000
"33","Uganda",33,41918000
"34","Ukraine",34,41849000
"35","Afghanistan",35,41401000
"36","Poland",36,38110000
"37","Algeria",37,38085000
"38","Iraq",38,36473000
"39","Morocco",39,36152000
"40","Canada",40,35051000
"41","Nepal",41,32747000
"42","Peru",42,32172000
"43","Venezuela",43,31330000
"44","Saudi Arabia",44,30828000
"45","Uzbekistan",45,30651000
"46","Malaysia",46,29558000
"47","Yemen",47,28480000
"48","Ghana",48,26562000
"49","Madagascar",49,23813000
"50","Syria",50,23802000
"51","Mozambique",51,23513000
"52","North Korea",52,23299000
"53","Sri Lanka",53,22293000
"54","Australia",54,22250000
"55","Cote d'Ivoire",55,21553000
"56","Angola",56,20947000
"57","Romania",57,20871000
"58","Niger",58,19283000
"59","Cameroon",59,19040000
"60","Mali",60,18093000
"61","Chile",61,17926000
"62","Burkina Faso",62,17678000
"63","Cambodia",63,17066000
"64","Netherlands",64,16812000
"65","Malawi",65,15998000
"66","Guatemala",66,15869000
"67","Ecuador",67,15144000
"68","Kazakhstan",68,14877000
"69","Senegal",69,14538000
"70","Zambia",70,13841000
"71","Zimbabwe",71,13804000
"72","Chad",72,12832000
"73","Guinea",73,11890000
"74","Cuba",74,11437000
"75","Rwanda",75,11262000
"76","Greece",76,11233000
"77","Benin",77,11217000
